,ctrl.sp,mt.sp,gene,cate,cate2
167,2.05043146274519,0.481049621005316,U90926,III,III
168,1.53776800882746,0.966592820054996,Gm16685,III,III
169,1.75111975030202,0.701507101633672,Tmem132e,III,III
170,3.57465329227425,2.97973654506946,Fpr2,II,III
171,3.03316126925917,1.38778087999678,Itgal,III,III
172,1.665503558707,0.532450261241382,Kcnn3,III,III
173,2.7001667499508,1.60396858402881,Ptges,III,III
174,4.74471785876851,2.23567899097645,Fpr1,III,III
175,4.485423967257,0.435597330524884,Ccl5,III,III
176,4.58991260718563,2.08262327417884,Lcn2,III,III
177,2.53328034482764,3.49275303750399,Steap4,II,II
